A,B,C,D,E,F,G,H,I
91,91,185,70,1.6904,25.229,6.565,-16.897,0
92,92,185,70,1.6904,24.249,2.8622,-18.017,0
93,93,185,70,1.6904,23.382,-0.12997,-19.101,0
94,94,185,70,1.6904,22.716,-2.309,-19.944,0
95,95,185,70,1.6904,22.338,-3.5526,-20.386,0
96,96,185,70,1.6904,22.304,-3.7638,-20.456,0
97,97,185,70,1.6904,22.624,-2.8594,-20.248,0
98,98,185,70,1.6904,23.223,-0.89416,-19.819,0
99,99,185,70,1.6904,23.953,1.8667,-19.203,0
100,100,185,70,1.6904,24.639,4.9165,-18.555,0
0,0,185,70,1.7706,26.616,4.9169,-19.271,65.767
1,1,185,70,1.7706,26.784,6.6678,-19.802,204.68
2,2,185,70,1.7706,26.784,7.8661,-21.077,343.69
3,3,185,70,1.7706,26.602,8.5291,-22.914,470.84
4,4,185,70,1.7706,26.286,8.9473,-24.909,578.24
5,5,185,70,1.7706,25.929,9.5272,-26.488,662.95
6,6,185,70,1.7706,25.636,10.461,-27.257,726.2
7,7,185,70,1.7706,25.477,11.723,-27.09,771.53
8,8,185,70,1.7706,25.467,13.183,-26.133,802.99
9,9,185,70,1.7706,25.526,14.685,-24.712,823.7
10,10,185,70,1.7706,25.489,16.08,-23.192,835.23
11,11,185,70,1.7706,25.218,17.234,-21.734,837.65
12,12,185,70,1.7706,24.652,18.05,-20.383,830.09
13,13,185,70,1.7706,23.811,18.483,-19.123,811.6
14,14,185,70,1.7706,22.815,18.601,-17.94,781.93
15,15,185,70,1.7706,21.723,18.402,-16.897,742.06
16,16,185,70,1.7706,20.529,17.826,-16.109,694.26
17,17,185,70,1.7706,19.166,16.79,-15.712,641.79
18,18,185,70,1.7706,17.629,15.42,-15.66,588.32
19,19,185,70,1.7706,15.96,13.9,-15.841,537.31
20,20,185,70,1.7706,14.245,12.415,-16.102,491.48
21,21,185,70,1.7706,12.585,11.092,-16.266,452.63
22,22,185,70,1.7706,11.02,9.9354,-16.203,421.57
23,23,185,70,1.7706,9.534,8.9155,-15.859,398.36
24,24,185,70,1.7706,8.0729,7.9878,-15.271,382.55
25,25,185,70,1.7706,6.589,7.1111,-14.56,373.48
26,26,185,70,1.7706,5.086,6.241,-13.894,370.53
27,27,185,70,1.7706,3.5963,5.3474,-13.375,373.24
