A,B,C,D,E,F,G,H,I
52,52,172,63,1.8525,-18.418,21.069,-26.392,422.42
53,53,172,63,1.8525,-17.51,23.264,-30.958,335.07
54,54,172,63,1.8525,-16.532,25.59,-35.871,266.34
55,55,172,63,1.8525,-15.613,28.099,-40.211,220.54
56,56,172,63,1.8525,-14.776,30.901,-42.936,196.18
57,57,172,63,1.8525,-13.956,34.085,-43.306,186.97
58,58,172,63,1.8525,-13.029,37.579,-41.631,185.03
59,59,172,63,1.8525,-11.874,41.157,-39.116,183.06
60,60,172,63,1.8525,-10.403,44.576,-36.9,173.98
61,61,172,63,1.8525,-8.5759,47.646,-35.568,0
62,62,172,63,1.8525,-6.3899,50.251,-34.96,0
63,63,172,63,1.8525,-3.9239,52.399,-34.484,0
64,64,172,63,1.8525,-1.2911,54.062,-33.788,0
65,65,172,63,1.8525,1.3302,55.18,-32.824,0
66,66,172,63,1.8525,3.7212,55.659,-31.761,0
67,67,172,63,1.8525,5.7754,55.553,-30.762,0
68,68,172,63,1.8525,7.5312,55.005,-29.812,0
69,69,172,63,1.8525,9.0983,54.168,-28.805,0
70,70,172,63,1.8525,10.577,53.109,-27.642,0
71,71,172,63,1.8525,12.008,51.771,-26.341,0
72,72,172,63,1.8525,13.393,50.068,-25.037,0
73,73,172,63,1.8525,14.757,47.977,-23.901,0
74,74,172,63,1.8525,16.153,45.568,-23.078,0
75,75,172,63,1.8525,17.63,42.956,-22.648,0
76,76,172,63,1.8525,19.146,40.223,-22.539,0
77,77,172,63,1.8525,20.61,37.361,-22.683,0
78,78,172,63,1.8525,21.928,34.344,-23.022,0
79,79,172,63,1.8525,23.044,31.173,-23.499,0
80,80,172,63,1.8525,23.952,27.905,-24.014,0
81,81,172,63,1.8525,24.636,24.572,-24.46,0
82,82,172,63,1.8525,25.061,21.173,-24.758,0
83,83,172,63,1.8525,25.194,17.699,-24.912,0
84,84,172,63,1.8525,25.078,14.196,-25.052,0
85,85,172,63,1.8525,24.839,10.787,-25.334,0
86,86,172,63,1.8525,24.614,7.6155,-25.822,0
87,87,172,63,1.8525,24.515,4.797,-26.444,0
88,88,172,63,1.8525,24.599,2.4098,-27.017,0
89,89,172,63,1.8525,24.831,0.42882,-27.405,0
90,90,172,63,1.8525,25.174,-1.1365,-27.581,0
91,91,172,63,1.8525,25.594,-2.244,-27.602,0
92,92,172,63,1.8525,26.063,-2.797,-27.561,0
93,93,172,63,1.8525,26.552,-2.7651,-27.552,0
94,94,172,63,1.8525,27.04,-2.19,-27.586,0
95,95,172,63,1.8525,27.511,-1.1693,-27.547,0
96,96,172,63,1.8525,27.914,0.14678,-27.206,0
97,97,172,63,1.8525,28.126,1.5278,-26.46,0
98,98,172,63,1.8525,28.026,2.7026,-25.7,0
99,99,172,63,1.8525,27.573,3.452,-25.651,0
100,100,172,63,1.8525,26.891,3.7365,-26.954,0
0,0,172,63,1.401,23.783,2.9616,-25.479,-25.685
1,1,172,63,1.401,23.529,3.7389,-27.278,172.02
2,2,172,63,1.401,23.19,3.9238,-30.925,344.16
3,3,172,63,1.401,23.17,4.4266,-34.418,471.67
4,4,172,63,1.401,23.578,6.0359,-35.865,551.12
5,5,172,63,1.401,24.162,8.7444,-34.962,592.31
6,6,172,63,1.401,24.504,11.74,-32.738,611.29
7,7,172,63,1.401,24.29,14.121,-30.367,622.94
8,8,172,63,1.401,23.446,15.521,-28.425,636.44
9,9,172,63,1.401,22.072,15.982,-27.022,654.15
10,10,172,63,1.401,20.331,15.603,-26.197,673.23
11,11,172,63,1.401,18.433,14.548,-25.937,688.49
12,12,172,63,1.401,16.651,13.205,-25.998,695.07
13,13,172,63,1.401,15.235,12.105,-25.933,690.19
14,14,172,63,1.401,14.264,11.587,-25.407,673.86
15,15,172,63,1.401,13.603,11.578,-24.46,648.48
16,16,172,63,1.401,12.985,11.7,-23.431,617.82
17,17,172,63,1.401,12.139,11.561,-22.696,585.84
18,18,172,63,1.401,10.93,10.986,-22.423,555.65
19,19,172,63,1.401,9.4119,10.033,-22.538,529.04
20,20,172,63,1.401,7.7491,8.8834,-22.832,506.43
21,21,172,63,1.401,6.1257,7.7541,-23.08,487.32
22,22,172,63,1.401,4.7038,6.8383,-23.141,470.8
23,23,172,63,1.401,3.5944,6.2419,-23.01,456.12
24,24,172,63,1.401,2.8084,5.9625,-22.783,442.94
25,25,172,63,1.401,2.2533,5.9465,-22.532,431.44
26,26,172,63,1.401,1.8068,6.1435,-22.233,422.14
27,27,172,63,1.401,1.3744,6.4709,-21.861,415.63
28,28,172,63,1.401,0.87745,6.7989,-21.463,412.32
29,29,172,63,1.401,0.22696,7.0081,-21.084,412.25
30,30,172,63,1.401,-0.62235,7.0812,-20.689,415.09
31,31,172,63,1.401,-1.611,7.0985,-20.221,420.22
32,32,172,63,1.401,-2.6147,7.1444,-19.697,426.92
33,33,172,63,1.401,-3.5435,7.2448,-19.205,434.51
34,34,172,63,1.401,-4.3924,7.3798,-18.809,442.41
35,35,172,63,1.401,-5.2189,7.5228,-18.507,450.21
36,36,172,63,1.401,-6.0819,7.6658,-18.252,457.62
37,37,172,63,1.401,-6.9901,7.8281,-18.002,464.47
38,38,172,63,1.401,-7.8977,8.047,-17.768,470.71
39,39,172,63,1.401,-8.7473,8.3448,-17.615,476.42
40,40,172,63,1.401,-9.5236,8.707,-17.623,481.86
41,41,172,63,1.401,-10.268,9.097,-17.835,487.35
42,42,172,63,1.401,-11.025,9.4949,-18.229,493.24
43,43,172,63,1.401,-11.756,9.9202,-18.738,499.57
44,44,172,63,1.401,-12.349,10.409,-19.316,505.73
45,45,172,63,1.401,-12.758,10.974,-19.967,510.12
46,46,172,63,1.401,-13.105,11.601,-20.722,510.16
47,47,172,63,1.401,-13.592,12.285,-21.618,502.59
48,48,172,63,1.401,-14.323,13.039,-22.728,484.36
49,49,172,63,1.401,-15.182,13.867,-24.166,453.86
50,50,172,63,1.401,-15.873,14.767,-26,412.18
51,51,172,63,1.401,-16.09,15.805,-28.159,363.72
52,52,172,63,1.401,-15.786,17.108,-30.483,315.57
53,53,172,63,1.401,-15.204,18.759,-32.944,275.44
54,54,172,63,1.401,-14.711,20.696,-35.746,248.61
55,55,172,63,1.401,-14.514,22.776,-39.131,235.51
56,56,172,63,1.401,-14.511,24.962,-42.948,231.73
57,57,172,63,1.401,-14.378,27.417,-46.406,231
58,58,172,63,1.401,-13.803,30.348,-48.437,227.11
59,59,172,63,1.401,-12.657,33.752,-48.441,213.9
60,60,172,63,1.401,-10.988,37.322,-46.726,185.18
61,61,172,63,1.401,-8.9591,40.633,-44.286,0
62,62,172,63,1.401,-6.7734,43.408,-42.134,0
63,63,172,63,1.401,-4.603,45.622,-40.74,0
64,64,172,63,1.401,-2.517,47.4,-39.904,0
65,65,172,63,1.401,-0.51326,48.821,-39.15,0
66,66,172,63,1.401,1.3529,49.826,-38.183,0
67,67,172,63,1.401,2.9401,50.308,-36.991,0
68,68,172,63,1.401,4.1817,50.278,-35.666,0
69,69,172,63,1.401,5.2489,49.906,-34.276,0
70,70,172,63,1.401,6.465,49.419,-32.87,0
71,71,172,63,1.401,8.0171,48.92,-31.498,0
72,72,172,63,1.401,9.7586,48.283,-30.167,0
73,73,172,63,1.401,11.363,47.249,-28.863,0
74,74,172,63,1.401,12.685,45.671,-27.63,0
75,75,172,63,1.401,13.845,43.63,-26.584,0
76,76,172,63,1.401,14.946,41.303,-25.818,0
77,77,172,63,1.401,15.91,38.797,-25.312,0
78,78,172,63,1.401,16.648,36.115,-24.978,0
79,79,172,63,1.401,17.212,33.243,-24.758,0
80,80,172,63,1.401,17.717,30.211,-24.646,0
81,81,172,63,1.401,18.178,27.089,-24.638,0
82,82,172,63,1.401,18.532,23.94,-24.719,0
83,83,172,63,1.401,18.788,20.8,-24.884,0
84,84,172,63,1.401,19.062,17.683,-25.129,0
85,85,172,63,1.401,19.435,14.616,-25.415,0
86,86,172,63,1.401,19.86,11.655,-25.67,0
87,87,172,63,1.401,20.243,8.8711,-25.836,0
88,88,172,63,1.401,20.559,6.3299,-25.935,0
89,89,172,63,1.401,20.853,4.0589,-26.051,0
90,90,172,63,1.401,21.143,2.0508,-26.236,0
91,91,172,63,1.401,21.415,0.30406,-26.455,0
92,92,172,63,1.401,21.685,-1.1364,-26.626,0
93,93,172,63,1.401,22.016,-2.1657,-26.707,0
94,94,172,63,1.401,22.44,-2.6789,-26.741,0
95,95,172,63,1.401,22.88,-2.6698,-26.765,0
96,96,172,63,1.401,23.19,-2.2486,-26.639,0
97,97,172,63,1.401,23.272,-1.5526,-26.142,0
98,98,172,63,1.401,23.138,-0.69582,-25.503,0
99,99,172,63,1.401,22.834,0.15663,-25.727,0
100,100,172,63,1.401,22.372,0.80447,-27.812,0
0,0,181,110,0.5554,48.898,6.7765,-16.326,71.028
1,1,181,110,0.5554,48.415,6.7092,-16.334,267.73
2,2,181,110,0.5554,47.922,6.6423,-16.349,465.57
3,3,181,110,0.5554,47.307,6.5806,-16.445,646.99
4,4,181,110,0.5554,46.68,6.5214,-16.559,799.37
5,5,181,110,0.5554,45.987,6.4769,-16.772,917.41
6,6,181,110,0.5554,45.288,6.4378,-17.013,1003
7,7,181,110,0.5554,44.569,6.4168,-17.35,1062.9
8,8,181,110,0.5554,43.854,6.4028,-17.721,1105.7
9,9,181,110,0.5554,43.149,6.4044,-18.167,1138.9
10,10,181,110,0.5554,42.46,6.4115,-18.639,1167.3
11,11,181,110,0.5554,41.797,6.427,-19.153,1192.5
12,12,181,110,0.5554,41.162,6.4416,-19.672,1213.8
13,13,181,110,0.5554,40.558,6.4552,-20.196,1228.8
14,14,181,110,0.5554,39.993,6.4589,-20.694,1235.2
15,15,181,110,0.5554,39.462,6.4541,-21.168,1231.7
16,16,181,110,0.5554,38.983,6.4328,-21.58,1217.9
17,17,181,110,0.5554,38.536,6.4013,-21.953,1195.2
18,18,181,110,0.5554,38.16,6.3555,-22.235,1166.4
19,19,181,110,0.5554,37.815,6.3035,-22.477,1134.8
20,20,181,110,0.5554,37.557,6.2505,-22.614,1104.3
21,21,181,110,0.5554,37.325,6.1972,-22.72,1078.4
22,22,181,110,0.5554,37.192,6.1629,-22.73,1059.9
23,23,181,110,0.5554,37.077,6.1321,-22.722,1050.5
24,24,181,110,0.5554,37.056,6.1382,-22.645,1050.5
25,25,181,110,0.5554,37.043,6.1473,-22.561,1059
26,26,181,110,0.5554,37.102,6.2018,-22.448,1074.3
27,27,181,110,0.5554,37.162,6.2591,-22.335,1094.1
28,28,181,110,0.5554,37.247,6.3517,-22.23,1115.9
29,29,181,110,0.5554,37.33,6.4478,-22.131,1137.7
30,30,181,110,0.5554,37.396,6.5634,-22.062,1157.8
31,31,181,110,0.5554,37.449,6.6802,-22.003,1175.1
32,32,181,110,0.5554,37.459,6.8011,-21.978,1189
33,33,181,110,0.5554,37.446,6.9187,-21.966,1199.1
34,34,181,110,0.5554,37.38,7.0288,-21.981,1205.5
35,35,181,110,0.5554,37.284,7.13,-22.007,1208.1
36,36,181,110,0.5554,37.141,7.2171,-22.049,1207.1
37,37,181,110,0.5554,36.968,7.2899,-22.095,1203
38,38,181,110,0.5554,36.759,7.3461,-22.147,1196.3
39,39,181,110,0.5554,36.525,7.3839,-22.195,1187.9
40,40,181,110,0.5554,36.27,7.406,-22.24,1178.9
41,41,181,110,0.5554,35.996,7.4081,-22.272,1169.8
42,42,181,110,0.5554,35.711,7.3976,-22.296,1160.3
43,43,181,110,0.5554,35.414,7.3692,-22.296,1149
44,44,181,110,0.5554,35.111,7.3329,-22.286,1132.8
45,45,181,110,0.5554,34.799,7.2866,-22.236,1107.5
46,46,181,110,0.5554,34.484,7.2372,-22.175,1068.4
47,47,181,110,0.5554,34.159,7.1927,-22.055,1011.4
48,48,181,110,0.5554,33.832,7.1491,-21.924,934.93
49,49,181,110,0.5554,33.493,7.1324,-21.713,841
50,50,181,110,0.5554,33.153,7.1179,-21.495,736.03
51,51,181,110,0.5554,32.803,7.1565,-21.178,630.11
52,52,181,110,0.5554,32.453,7.2006,-20.854,534.82
53,53,181,110,0.5554,32.097,7.3106,-20.439,459.94
54,54,181,110,0.5554,31.741,7.4326,-20.012,410.31
55,55,181,110,0.5554,31.387,7.6206,-19.52,384.28
56,56,181,110,0.5554,31.036,7.8242,-19.019,374.78
57,57,181,110,0.5554,30.696,8.0797,-18.487,372.97
58,58,181,110,0.5554,30.363,8.3474,-17.958,371.28
59,59,181,110,0.5554,30.049,8.6424,-17.436,362.59
60,60,181,110,0.5554,29.751,8.9369,-16.936,339.78
61,61,181,110,0.5554,29.479,9.2304,-16.472,0
62,62,181,110,0.5554,29.235,9.5025,-16.052,0
63,63,181,110,0.5554,29.025,9.7497,-15.683,0
64,64,181,110,0.5554,28.859,9.9513,-15.376,0
65,65,181,110,0.5554,28.733,10.114,-15.122,0
66,66,181,110,0.5554,28.671,10.211,-14.939,0
67,67,181,110,0.5554,28.649,10.268,-14.801,0
68,68,181,110,0.5554,28.713,10.25,-14.733,0
69,69,181,110,0.5554,28.814,10.199,-14.696,0
70,70,181,110,0.5554,29.017,10.08,-14.716,0
71,71,181,110,0.5554,29.251,9.9415,-14.753,0
72,72,181,110,0.5554,29.597,9.7574,-14.827,0
73,73,181,110,0.5554,29.964,9.5652,-14.907,0
74,74,181,110,0.5554,30.446,9.3595,-14.998,0
75,75,181,110,0.5554,30.938,9.1528,-15.091,0
76,76,181,110,0.5554,31.54,8.9649,-15.171,0
77,77,181,110,0.5554,32.148,8.7801,-15.249,0
78,78,181,110,0.5554,32.838,8.6314,-15.304,0
79,79,181,110,0.5554,33.539,8.4894,-15.355,0
80,80,181,110,0.5554,34.295,8.3849,-15.384,0
81,81,181,110,0.5554,35.061,8.2892,-15.409,0
82,82,181,110,0.5554,35.861,8.2227,-15.422,0
83,83,181,110,0.5554,36.668,8.1645,-15.433,0
84,84,181,110,0.5554,37.492,8.1248,-15.442,0
85,85,181,110,0.5554,38.317,8.0913,-15.455,0
86,86,181,110,0.5554,39.146,8.0676,-15.473,0
87,87,181,110,0.5554,39.965,8.0477,-15.497,0
88,88,181,110,0.5554,40.775,8.0323,-15.53,0
89,89,181,110,0.5554,41.557,8.0188,-15.567,0
90,90,181,110,0.5554,42.316,8.0071,-15.609,0
91,91,181,110,0.5554,43.017,7.9956,-15.65,0
92,92,181,110,0.5554,43.684,7.9842,-15.689,0
93,93,181,110,0.5554,44.254,7.9703,-15.714,0
94,94,181,110,0.5554,44.782,7.9554,-15.733,0
95,95,181,110,0.5554,45.169,7.9336,-15.727,0
96,96,181,110,0.5554,45.514,7.9097,-15.713,0
97,97,181,110,0.5554,45.676,7.8733,-15.669,0
98,98,181,110,0.5554,45.806,7.8345,-15.621,0
99,99,181,110,0.5554,45.724,7.777,-15.555,0
100,100,181,110,0.5554,45.625,7.718,-15.488,0
0,0,181,110,1.3263,46.975,13.33,-22.232,4.8444
1,1,181,110,1.3263,46.815,13,-22.26,229.5
2,2,181,110,1.3263,46.658,12.995,-22.319,417.57
3,3,181,110,1.3263,46.505,13.452,-22.421,549.61
4,4,181,110,1.3263,46.337,14.385,-22.659,627.72
5,5,181,110,1.3263,46.157,15.495,-22.961,672.18
6,6,181,110,1.3263,45.944,16.852,-23.381,710.88
7,7,181,110,1.3263,45.689,18.264,-23.82,767.31
8,8,181,110,1.3263,45.408,19.698,-24.261,852.38
9,9,181,110,1.3263,45.056,21.041,-24.562,962.34
10,10,181,110,1.3263,44.665,22.288,-24.719,1082.4
11,11,181,110,1.3263,44.231,23.429,-24.719,1193.3
12,12,181,110,1.3263,43.725,24.36,-24.387,1278.2
13,13,181,110,1.3263,43.187,25.199,-23.905,1326.9
14,14,181,110,1.3263,42.593,25.884,-23.173,1337.6
15,15,181,110,1.3263,41.944,26.44,-22.253,1315.8
16,16,181,110,1.3263,41.264,26.924,-21.241,1271.2
17,17,181,110,1.3263,40.518,27.281,-20.119,1215.1
18,18,181,110,1.3263,39.732,27.571,-19.009,1157.2
19,19,181,110,1.3263,38.912,27.805,-17.908,1104.3
20,20,181,110,1.3263,38.018,27.926,-16.94,1059.9
21,21,181,110,1.3263,37.092,27.997,-16.053,1024.8
22,22,181,110,1.3263,36.115,27.989,-15.295,997.6
23,23,181,110,1.3263,35.074,27.879,-14.701,976.27
24,24,181,110,1.3263,33.998,27.713,-14.187,958.75
25,25,181,110,1.3263,32.853,27.434,-13.812,943.57
26,26,181,110,1.3263,31.662,27.073,-13.501,930.1
27,27,181,110,1.3263,30.438,26.654,-13.233,918.48
28,28,181,110,1.3263,29.149,26.108,-13.005,909.37
29,29,181,110,1.3263,27.841,25.515,-12.774,903.64
30,30,181,110,1.3263,26.509,24.858,-12.539,902.03
31,31,181,110,1.3263,25.166,24.131,-12.273,904.97
32,32,181,110,1.3263,23.828,23.378,-11.991,912.44
33,33,181,110,1.3263,22.508,22.591,-11.677,924.07
34,34,181,110,1.3263,21.23,21.804,-11.338,939.33
35,35,181,110,1.3263,19.981,21.019,-10.983,957.75
36,36,181,110,1.3263,18.821,20.28,-10.603,979.09
37,37,181,110,1.3263,17.718,19.588,-10.214,1003.3
38,38,181,110,1.3263,16.675,18.943,-9.8174,1030.5
39,39,181,110,1.3263,15.744,18.418,-9.4215,1060.7
40,40,181,110,1.3263,14.86,17.952,-9.0325,1093.2
41,41,181,110,1.3263,14.05,17.588,-8.6585,1127.1
42,42,181,110,1.3263,13.296,17.33,-8.3191,1161.1
43,43,181,110,1.3263,12.568,17.131,-8.0033,1193.9
44,44,181,110,1.3263,11.872,17.043,-7.7523,1224.2
45,45,181,110,1.3263,11.177,17.018,-7.5589,1251
46,46,181,110,1.3263,10.481,17.043,-7.4116,1272.9
47,47,181,110,1.3263,9.7684,17.175,-7.3903,1287.1
48,48,181,110,1.3263,9.0551,17.363,-7.4328,1288.8
49,49,181,110,1.3263,8.3408,17.636,-7.5721,1270.9
50,50,181,110,1.3263,7.6673,18.07,-7.859,1225.1
51,51,181,110,1.3263,7.0328,18.606,-8.2301,1144.7
52,52,181,110,1.3263,6.5072,19.38,-8.7774,1027.1
53,53,181,110,1.3263,6.1306,20.407,-9.4905,876.94
54,54,181,110,1.3263,5.8565,21.606,-10.316,706.25
55,55,181,110,1.3263,5.9097,23.302,-11.452,533.08
56,56,181,110,1.3263,6.1423,25.255,-12.754,377.15
57,57,181,110,1.3263,6.5991,27.531,-14.261,254.45
58,58,181,110,1.3263,7.4134,30.311,-16.092,172.52
59,59,181,110,1.3263,8.3875,33.315,-18.055,128.6
60,60,181,110,1.3263,9.6331,36.696,-20.229,111.68
61,61,181,110,1.3263,11.067,40.317,-22.452,0
62,62,181,110,1.3263,12.603,44.058,-24.675,0
63,63,181,110,1.3263,14.275,47.888,-26.687,0
64,64,181,110,1.3263,15.958,51.619,-28.442,0
65,65,181,110,1.3263,17.651,55.254,-29.947,0
66,66,181,110,1.3263,19.207,58.473,-30.814,0
67,67,181,110,1.3263,20.694,61.428,-31.415,0
68,68,181,110,1.3263,22.065,63.926,-31.592,0
69,69,181,110,1.3263,23.323,65.821,-31.432,0
70,70,181,110,1.3263,24.533,67.387,-31.121,0
71,71,181,110,1.3263,25.69,68.301,-30.611,0
72,72,181,110,1.3263,26.846,68.859,-30.041,0
73,73,181,110,1.3263,28.002,69.152,-29.428,0
74,74,181,110,1.3263,29.684,70.246,-28.117,0
75,75,181,110,1.3263,31.393,71.217,-26.858,0
76,76,181,110,1.3263,33.132,71.98,-25.694,0
77,77,181,110,1.3263,34.59,71.635,-25.238,0
78,78,181,110,1.3263,35.987,70.96,-24.98,0
79,79,181,110,1.3263,37.401,70.05,-24.836,0
80,80,181,110,1.3263,38.782,68.914,-24.714,0
81,81,181,110,1.3263,40.138,67.627,-24.601,0
82,82,181,110,1.3263,41.377,65.925,-24.414,0
83,83,181,110,1.3263,42.535,63.984,-24.161,0
84,84,181,110,1.3263,43.6,61.763,-23.833,0
85,85,181,110,1.3263,44.488,59.03,-23.394,0
86,86,181,110,1.3263,45.289,56.052,-22.928,0
87,87,181,110,1.3263,45.94,52.645,-22.435,0
88,88,181,110,1.3263,46.448,48.863,-22.001,0
89,89,181,110,1.3263,46.874,44.878,-21.613,0
90,90,181,110,1.3263,47.138,40.564,-21.391,0
91,91,181,110,1.3263,47.325,36.205,-21.285,0
92,92,181,110,1.3263,47.441,31.805,-21.284,0
93,93,181,110,1.3263,47.46,27.664,-21.445,0
94,94,181,110,1.3263,47.452,23.766,-21.638,0
95,95,181,110,1.3263,47.408,20.288,-21.87,0
96,96,181,110,1.3263,47.348,17.515,-22.051,0
97,97,181,110,1.3263,47.283,15.147,-22.19,0
98,98,181,110,1.3263,47.213,13.653,-22.215,0
99,99,181,110,1.3263,47.134,12.763,-22.183,0
100,100,181,110,1.3263,47.05,12.297,-22.111,0
0,0,181,110,0.5554,48.898,6.7765,-16.326,71.028
1,1,181,110,0.5554,48.415,6.7092,-16.334,267.73
2,2,181,110,0.5554,47.922,6.6423,-16.349,465.57
3,3,181,110,0.5554,47.307,6.5806,-16.445,646.99
4,4,181,110,0.5554,46.68,6.5214,-16.559,799.37
5,5,181,110,0.5554,45.987,6.4769,-16.772,917.41
6,6,181,110,0.5554,45.288,6.4378,-17.013,1003
7,7,181,110,0.5554,44.569,6.4168,-17.35,1062.9
8,8,181,110,0.5554,43.854,6.4028,-17.721,1105.7
9,9,181,110,0.5554,43.149,6.4044,-18.167,1138.9
10,10,181,110,0.5554,42.46,6.4115,-18.639,1167.3
11,11,181,110,0.5554,41.797,6.427,-19.153,1192.5
12,12,181,110,0.5554,41.162,6.4416,-19.672,1213.8
13,13,181,110,0.5554,40.558,6.4552,-20.196,1228.8
14,14,181,110,0.5554,39.993,6.4589,-20.694,1235.2
15,15,181,110,0.5554,39.462,6.4541,-21.168,1231.7
16,16,181,110,0.5554,38.983,6.4328,-21.58,1217.9
17,17,181,110,0.5554,38.536,6.4013,-21.953,1195.2
18,18,181,110,0.5554,38.16,6.3555,-22.235,1166.4
19,19,181,110,0.5554,37.815,6.3035,-22.477,1134.8
20,20,181,110,0.5554,37.557,6.2505,-22.614,1104.3
21,21,181,110,0.5554,37.325,6.1972,-22.72,1078.4
22,22,181,110,0.5554,37.192,6.1629,-22.73,1059.9
23,23,181,110,0.5554,37.077,6.1321,-22.722,1050.5
24,24,181,110,0.5554,37.056,6.1382,-22.645,1050.5
25,25,181,110,0.5554,37.043,6.1473,-22.561,1059
26,26,181,110,0.5554,37.102,6.2018,-22.448,1074.3
27,27,181,110,0.5554,37.162,6.2591,-22.335,1094.1
28,28,181,110,0.5554,37.247,6.3517,-22.23,1115.9
29,29,181,110,0.5554,37.33,6.4478,-22.131,1137.7
30,30,181,110,0.5554,37.396,6.5634,-22.062,1157.8
31,31,181,110,0.5554,37.449,6.6802,-22.003,1175.1
32,32,181,110,0.5554,37.459,6.8011,-21.978,1189
33,33,181,110,0.5554,37.446,6.9187,-21.966,1199.1
34,34,181,110,0.5554,37.38,7.0288,-21.981,1205.5
35,35,181,110,0.5554,37.284,7.13,-22.007,1208.1
36,36,181,110,0.5554,37.141,7.2171,-22.049,1207.1
37,37,181,110,0.5554,36.968,7.2899,-22.095,1203
38,38,181,110,0.5554,36.759,7.3461,-22.147,1196.3
39,39,181,110,0.5554,36.525,7.3839,-22.195,1187.9
40,40,181,110,0.5554,36.27,7.406,-22.24,1178.9
41,41,181,110,0.5554,35.996,7.4081,-22.272,1169.8
42,42,181,110,0.5554,35.711,7.3976,-22.296,1160.3
43,43,181,110,0.5554,35.414,7.3692,-22.296,1149
44,44,181,110,0.5554,35.111,7.3329,-22.286,1132.8
45,45,181,110,0.5554,34.799,7.2866,-22.236,1107.5
46,46,181,110,0.5554,34.484,7.2372,-22.175,1068.4
47,47,181,110,0.5554,34.159,7.1927,-22.055,1011.4
48,48,181,110,0.5554,33.832,7.1491,-21.924,934.93
49,49,181,110,0.5554,33.493,7.1324,-21.713,841
50,50,181,110,0.5554,33.153,7.1179,-21.495,736.03
51,51,181,110,0.5554,32.803,7.1565,-21.178,630.11
52,52,181,110,0.5554,32.453,7.2006,-20.854,534.82
53,53,181,110,0.5554,32.097,7.3106,-20.439,459.94
54,54,181,110,0.5554,31.741,7.4326,-20.012,410.31
55,55,181,110,0.5554,31.387,7.6206,-19.52,384.28
56,56,181,110,0.5554,31.036,7.8242,-19.019,374.78
57,57,181,110,0.5554,30.696,8.0797,-18.487,372.97
58,58,181,110,0.5554,30.363,8.3474,-17.958,371.28
59,59,181,110,0.5554,30.049,8.6424,-17.436,362.59
60,60,181,110,0.5554,29.751,8.9369,-16.936,339.78
61,61,181,110,0.5554,29.479,9.2304,-16.472,0
62,62,181,110,0.5554,29.235,9.5025,-16.052,0
63,63,181,110,0.5554,29.025,9.7497,-15.683,0
64,64,181,110,0.5554,28.859,9.9513,-15.376,0
65,65,181,110,0.5554,28.733,10.114,-15.122,0
66,66,181,110,0.5554,28.671,10.211,-14.939,0
67,67,181,110,0.5554,28.649,10.268,-14.801,0
68,68,181,110,0.5554,28.713,10.25,-14.733,0
69,69,181,110,0.5554,28.814,10.199,-14.696,0
70,70,181,110,0.5554,29.017,10.08,-14.716,0
71,71,181,110,0.5554,29.251,9.9415,-14.753,0
72,72,181,110,0.5554,29.597,9.7574,-14.827,0
73,73,181,110,0.5554,29.964,9.5652,-14.907,0
74,74,181,110,0.5554,30.446,9.3595,-14.998,0
75,75,181,110,0.5554,30.938,9.1528,-15.091,0
76,76,181,110,0.5554,31.54,8.9649,-15.171,0
77,77,181,110,0.5554,32.148,8.7801,-15.249,0
78,78,181,110,0.5554,32.838,8.6314,-15.304,0
79,79,181,110,0.5554,33.539,8.4894,-15.355,0
80,80,181,110,0.5554,34.295,8.3849,-15.384,0
81,81,181,110,0.5554,35.061,8.2892,-15.409,0
82,82,181,110,0.5554,35.861,8.2227,-15.422,0
83,83,181,110,0.5554,36.668,8.1645,-15.433,0
84,84,181,110,0.5554,37.492,8.1248,-15.442,0
85,85,181,110,0.5554,38.317,8.0913,-15.455,0
86,86,181,110,0.5554,39.146,8.0676,-15.473,0
87,87,181,110,0.5554,39.965,8.0477,-15.497,0
88,88,181,110,0.5554,40.775,8.0323,-15.53,0
89,89,181,110,0.5554,41.557,8.0188,-15.567,0
90,90,181,110,0.5554,42.316,8.0071,-15.609,0
91,91,181,110,0.5554,43.017,7.9956,-15.65,0
92,92,181,110,0.5554,43.684,7.9842,-15.689,0
93,93,181,110,0.5554,44.254,7.9703,-15.714,0
94,94,181,110,0.5554,44.782,7.9554,-15.733,0
95,95,181,110,0.5554,45.169,7.9336,-15.727,0
96,96,181,110,0.5554,45.514,7.9097,-15.713,0
97,97,181,110,0.5554,45.676,7.8733,-15.669,0
98,98,181,110,0.5554,45.806,7.8345,-15.621,0
99,99,181,110,0.5554,45.724,7.777,-15.555,0
100,100,181,110,0.5554,45.625,7.718,-15.488,0
0,0,160,71,1.4037,26.679,10.566,-20.281,23.985
1,1,160,71,1.4037,26.886,10.445,-20.636,167.86
2,2,160,71,1.4037,27.064,10.443,-20.997,303.87
3,3,160,71,1.4037,27.128,10.876,-21.385,418.21
4,4,160,71,1.4037,27.107,11.473,-21.796,503.34
5,5,160,71,1.4037,26.973,12.29,-22.239,559.21
6,6,160,71,1.4037,26.694,13.258,-22.708,591.92
7,7,160,71,1.4037,26.335,14.31,-23.191,610.71
8,8,160,71,1.4037,25.782,15.446,-23.658,624.7
9,9,160,71,1.4037,25.183,16.593,-24.114,640.4
10,10,160,71,1.4037,24.395,17.697,-24.467,660.5
11,11,160,71,1.4037,23.563,18.747,-24.76,684.09
12,12,160,71,1.4037,22.621,19.663,-24.904,707.78
13,13,160,71,1.4037,21.634,20.437,-24.905,727.35
14,14,160,71,1.4037,20.603,21.07,-24.762,739.2
